msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down,msg_total_bytes_enviada,eficiencia_env,overhead_env_bytes
225,1758716956104454825,1758716956255987565,151.533,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
226,1758717556294154812,1758717556434241852,140.087,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
227,1758718156501768859,1758718156649827763,148.059,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
228,1758718756708788063,1758718756894533878,185.746,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
229,1758719355912311082,1758719356162871241,250.56,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
230,1758719956130493790,1758719956401839784,271.346,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
231,1758720556327900892,1758720556609886095,281.985,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
232,1758721156536048404,1758721156813694654,277.646,467,491,1976,902,2878,35,35,1976,0.24848178137651822,1485
233,1758721755747623249,1758721755915778980,168.156,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
234,1758722357954172570,1758722358021996545,67.824,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
235,1758722956169480778,1758722956256814988,87.334,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
236,1758723556382393183,1758723556456121781,73.729,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
237,1758724156568979812,1758724156583522170,14.542,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
238,1758724756751674384,1758724756933639671,181.965,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
239,1758725355962015383,1758725355976108136,14.093,463,487,1768,762,2530,30,30,1768,0.2754524886877828,1281
240,1758725956178758751,1758725956509002825,330.244,467,491,2052,1018,3070,38,38,2052,0.23927875243664717,1561
241,1758726556388872992,1758726556642819381,253.946,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
242,1758727155586533896,1758727155871321303,284.787,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
243,1758727755766628581,1758727755863616245,96.988,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
244,1758728355977096982,1758728356105588745,128.492,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
245,1758728956195629407,1758728956311831840,116.202,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
246,1758729556403262492,1758729556731473053,328.211,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
247,1758730156607642565,1758730156857996675,250.354,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
248,1758730756798189924,1758730757014871078,216.681,467,491,1976,902,2878,35,35,1976,0.24848178137651822,1485
249,1758731356009935082,1758731356123219020,113.284,467,491,2204,1094,3298,41,41,2204,0.22277676950998185,1713
250,1758731956222707889,1758731956296722880,74.015,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
